timestamp,close_price,volume_base,volume_quote,transaction_count,total_value_transferred_btc,avg_fee_btc,total_size_used_mb,unique_active_wallets,market_cap,ma_6,ma_24,ma_crossover_signal,ma_crossover_description,ema_12,ema_26,macd,macd_signal,macd_hist,macd_crossover_signal,macd_crossover_description,txn_ratio,txn_ratio_description,bb_mid,bb_std,bb_upper,bb_lower,bb_position,price_change_pct,price_movement
2024-05-01 00:00:00,60208.817,8511.2535,514130295.19,27131,41488.3624,6.403e-05,11.7035,50034,1192805536002.73,,,,,60208.817,60208.817,0.0,0.0,0.0,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,,
2024-05-01 01:00:00,60095.5002,8853.2447,532178009.38,25263,29720.9307,6.295e-05,11.459,39480,1185495838919.14,,,,,60191.3836,60200.4232,-9.0396,-1.8079,-7.2317,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,-0.001882,no significant change
2024-05-01 02:00:00,59886.5202,8690.0466,519349108.82,21228,29104.3936,6.046e-05,7.82,37710,1183923864597.1,,,,,60144.4816,60177.1711,-32.6895,-7.9842,-24.7053,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,-0.003477,slight decrease
2024-05-01 03:00:00,60206.0485,5206.5224,312751348.39,19018,62407.2166,6.96e-05,8.3795,42124,1179126534503.09,,,,,60153.9534,60179.3102,-25.3568,-11.4587,-13.8981,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,0.005336,slight increase
2024-05-01 04:00:00,60241.4675,4977.9718,299829921.75,26684,44802.0762,5.741e-05,11.0749,36411,1185334006215.85,,,,,60167.4171,60183.9144,-16.4973,-12.4665,-4.0308,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,0.000588,no significant change
2024-05-01 05:00:00,60005.2504,5928.1266,356062857.88,11898,26359.225,9.173e-05,4.5227,27976,1185417357507.04,60107.2673,,,,60142.4684,60170.68,-28.2116,-15.6155,-12.5961,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,-0.003921,slight decrease
2024-05-01 06:00:00,59501.2836,7846.8091,468895266.34,17902,27977.1218,8.176e-05,7.7468,42564,1180280723960.1,59989.3451,,,,60043.8246,60121.0951,-77.2705,-27.9465,-49.324,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,-0.008399,slight decrease
2024-05-01 07:00:00,57466.2288,48781.7905,2831901911.85,18476,80240.6812,8.235e-05,7.7279,46975,1174252126746.05,59551.1332,,,,59647.2714,59924.4384,-277.167,-77.7906,-199.3764,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,-0.034202,significant decrease
2024-05-01 08:00:00,57103.0541,34919.7273,1990813792.08,36958,77431.8478,6.185e-05,14.1263,59083,1129261524651.08,59087.2222,,,,59255.8533,59715.4469,-459.5936,-154.1512,-305.4424,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,-0.00632,slight decrease
2024-05-01 09:00:00,57096.7474,14509.3452,830822365.41,36684,38395.1546,5.359e-05,13.1422,48869,1119473517526.49,58569.0053,,,,58923.6832,59521.4692,-597.786,-242.8782,-354.9078,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,-0.00011,no significant change
