timestamp,close_price,volume_base,volume_quote,market_cap,ma_6,ma_24,ma_crossover_signal,ma_crossover_description,ema_12,ema_26,macd,macd_signal,macd_hist,macd_crossover_signal,macd_crossover_description,bb_mid,bb_std,bb_upper,bb_lower,bb_position
2024-05-01 00:00:00,0.9991946565,14243177.8325,14231359.34,110569151502.23,,,,,0.99919466,0.99919466,0.0,0.0,0.0,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,
2024-05-01 01:00:00,0.9991244883,7272292.7048,7267671.8,110537403471.61,,,,,0.99918386,0.99918946,-5.6e-06,-1.12e-06,-4.48e-06,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,
2024-05-01 02:00:00,0.9991508853,8760351.9482,8755053.36,110466354142.14,,,,,0.99917879,0.9991866,-7.81e-06,-2.46e-06,-5.35e-06,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,
2024-05-01 03:00:00,0.9991003649,6270335.0839,6266386.85,110499257519.24,,,,,0.99916672,0.99918021,-1.349e-05,-4.66e-06,-8.83e-06,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,
2024-05-01 04:00:00,0.9991080972,7170144.2504,7166996.22,110502019362.75,,,,,0.9991577,0.99917487,-1.717e-05,-7.17e-06,-1e-05,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,
2024-05-01 05:00:00,0.999105523,7062395.9998,7056035.16,110517479507.46,0.99913067,,,,0.99914968,0.99916973,-2.005e-05,-9.74e-06,-1.031e-05,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,
2024-05-01 06:00:00,0.9992228537,15611913.1132,15638267.96,110471189622.15,0.99913537,,,,0.99916093,0.99917367,-1.274e-05,-1.034e-05,-2.4e-06,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,
2024-05-01 07:00:00,0.9993014755,49739019.5122,49791784.42,110422939714.68,0.99916487,,,,0.99918256,0.99918314,-5.8e-07,-8.39e-06,7.81e-06,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,,,
2024-05-01 08:00:00,0.9988658249,36658500.2674,36635349.19,110359526596.91,0.99911736,,,,0.99913383,0.99915963,-2.58e-05,-1.187e-05,-1.393e-05,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,
2024-05-01 09:00:00,0.9992734699,22800628.9081,22796502.42,110530127504.3,0.99914621,,,,0.99915531,0.99916806,-1.275e-05,-1.205e-05,-7e-07,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,
2024-05-01 10:00:00,0.9994967052,13786014.2836,13781087.83,110360540970.34,0.99921098,,,,0.99920783,0.99919241,1.542e-05,-6.55e-06,2.197e-05,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,,,
2024-05-01 11:00:00,0.9992659557,17491167.9527,17474767.27,110504184462.71,0.99923771,,,,0.99921678,0.99919786,1.892e-05,-1.46e-06,2.038e-05,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,,,
2024-05-01 12:00:00,0.999550672,14855820.8553,14844005.67,110535147234.8,0.99929235,,,,0.99926814,0.99922399,4.415e-05,7.66e-06,3.649e-05,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,,,
2024-05-01 13:00:00,0.9994088179,14328308.0031,14319078.24,110465848894.08,0.99931024,,,,0.99928979,0.99923768,5.211e-05,1.655e-05,3.556e-05,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,,,
2024-05-01 14:00:00,0.999231627,21367403.5772,21352415.28,110555276496.72,0.99937121,,,,0.99928084,0.99923723,4.361e-05,2.196e-05,2.165e-05,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,,,
2024-05-01 15:00:00,0.9992216456,32217149.1878,32194318.64,110455751648.12,0.99936257,,,,0.99927173,0.99923608,3.565e-05,2.47e-05,1.095e-05,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,,,
2024-05-01 16:00:00,0.9993563927,16708625.2115,16690789.72,110312744065.58,0.99933919,,,,0.99928476,0.99924499,3.977e-05,2.771e-05,1.206e-05,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,,,
2024-05-01 17:00:00,0.9993206605,14543864.6966,14531058.96,110367503050.54,0.9993483,,,,0.99929028,0.9992506,3.968e-05,3.011e-05,9.57e-06,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,,,
2024-05-01 18:00:00,0.9995282704,21596100.7373,21574386.17,110556129283.01,0.99934457,,,,0.99932689,0.99927116,5.573e-05,3.523e-05,2.05e-05,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,,,
2024-05-01 19:00:00,0.9993440735,25461769.4837,25440699.31,110591363008.94,0.99933378,,,,0.99932954,0.99927656,5.298e-05,3.878e-05,1.42e-05,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,0.999258622985,0.0001658414378749091,0.99959031,0.99892694,within band (normal range)
2024-05-01 20:00:00,0.9993810828,15812822.439,15801887.12,110447103389.22,0.99935869,,,,0.99933747,0.99928431,5.316e-05,4.166e-05,1.15e-05,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,0.9992679443,0.0001672897304917212,0.99960252,0.99893336,within band (normal range)
2024-05-01 21:00:00,0.999258058,13238557.143,13228686.75,110588252634.93,0.99936476,,,,0.99932525,0.99928236,4.289e-05,4.19e-05,9.9e-07,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,0.999274622785,0.0001638929844016633,0.99960241,0.99894684,within band (normal range)
2024-05-01 22:00:00,0.9992952015,6982620.2742,6975000.19,110528629737.98,0.99935456,,,,0.99932063,0.99928331,3.732e-05,4.099e-05,-3.67e-06,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,0.9992818385949999,0.00016131506544048835,0.99960447,0.99895921,within band (normal range)
2024-05-01 23:00:00,0.999314963,5966662.3126,5961022.48,110476890186.26,0.99935361,0.99926757,1,short MA (6h) is above long MA (24h) → buy signal,0.99931976,0.99928566,3.41e-05,3.961e-05,-5.51e-06,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,0.9992925685000001,0.00015564642174300606,0.99960386,0.99898128,within band (normal range)
2024-05-02 00:00:00,0.9995437559,9569110.3408,9560786.23,110656637832.43,0.99935619,0.99928212,1,short MA (6h) is above long MA (24h) → buy signal,0.99935422,0.99930478,4.944e-05,4.158e-05,7.86e-06,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,0.999314351435,0.00015892167678270986,0.99963219,0.99899651,within band (normal range)
2024-05-02 01:00:00,0.9997022759,6666103.3191,6661710.9,110446577068.57,0.99941589,0.99930619,1,short MA (6h) is above long MA (24h) → buy signal,0.99940777,0.99933422,7.355e-05,4.797e-05,2.558e-05,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,0.99934418908,0.0001730433869803266,0.99969028,0.9989981,above upper band (possible breakout)
2024-05-02 02:00:00,0.999760031,8511208.0414,8506023.03,110607559170.01,0.99947905,0.99933157,1,short MA (6h) is above long MA (24h) → buy signal,0.99946196,0.99936576,9.62e-05,5.762e-05,3.858e-05,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,0.999371047945,0.00019367777325159858,0.9997584,0.99898369,above upper band (possible breakout)
2024-05-02 03:00:00,0.9996278781,12571085.4063,12560514.98,110577283473.82,0.99954068,0.99935355,1,short MA (6h) is above long MA (24h) → buy signal,0.99948749,0.99938518,0.00010231,6.656e-05,3.575e-05,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,0.9993873680750001,0.00020111596389459313,0.9997896,0.99898514,within band (normal range)
2024-05-02 04:00:00,0.9996630934,4436367.2807,4433286.13,110443278065.8,0.999602,0.99937668,1,short MA (6h) is above long MA (24h) → buy signal,0.9995145,0.99940576,0.00010874,7.499e-05,3.375e-05,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,0.9994272315,0.00016870096654232687,0.99976463,0.99908983,within band (normal range)
2024-05-02 05:00:00,0.9998598684,12760181.2852,12751990.47,110490091837.25,0.99969282,0.99940811,1,short MA (6h) is above long MA (24h) → buy signal,0.99956764,0.9994394,0.00012824,8.564e-05,4.26e-05,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,0.999456551425,0.00019016325447536887,0.99983688,0.99907622,above upper band (possible breakout)
2024-05-02 06:00:00,0.9998911298,18215877.5359,18207715.94,110517059496.09,0.99975071,0.99943596,1,short MA (6h) is above long MA (24h) → buy signal,0.9996174,0.99947286,0.00014454,9.742e-05,4.712e-05,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,0.999476272655,0.00021355964331663707,0.99990339,0.99904915,within band (normal range)
