timestamp,close_price,volume_base,volume_quote,transaction_count,successful_transaction_count,total_fee_sol,avg_fee_sol,market_cap,ma_6,ma_24,ma_crossover_signal,ma_crossover_description,ema_12,ema_26,macd,macd_signal,macd_hist,macd_crossover_signal,macd_crossover_description,txn_ratio,txn_ratio_description,bb_mid,bb_std,bb_upper,bb_lower,bb_position,price_change_pct,price_movement
2024-05-01 00:00:00,125.1005,513934.1844,64575943.45,8837436,6777203,228.6608,2.587e-05,57068380747.46,,,,,125.1005,125.1005,0.0,0.0,0.0,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,,
2024-05-01 01:00:00,126.8711,683454.0389,86164402.38,9286854,7312422,206.7113,2.226e-05,56022578405.16,,,,,125.3729,125.2317,0.1412,0.0282,0.113,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,,,,,,0.014153,significant increase
2024-05-01 02:00:00,125.0548,705846.8439,88318479.6,8450646,6534633,217.1579,2.57e-05,56778548455.6,,,,,125.324,125.2186,0.1054,0.0437,0.0617,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,,,,,,-0.014316,significant decrease
2024-05-01 03:00:00,126.1589,422406.4831,52954244.59,9489185,7529496,221.0711,2.33e-05,56015207934.07,,,,,125.4524,125.2882,0.1642,0.0678,0.0964,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,,,,,,0.008829,slight increase
2024-05-01 04:00:00,125.9056,302809.5565,38198777.59,9238242,7418829,222.2989,2.406e-05,56515542245.6,,,,,125.5221,125.3339,0.1882,0.0919,0.0963,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,,,,,,-0.002008,slight decrease
2024-05-01 05:00:00,125.082,320654.0779,40168311.8,9074138,7142826,171.0434,1.885e-05,56287167139.35,125.6955,,,,125.4544,125.3153,0.1391,0.1013,0.0378,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,,,,,,-0.006541,slight decrease
2024-05-01 06:00:00,122.8263,689952.9932,85343812.28,8511218,6724752,162.6879,1.911e-05,55883398881.97,125.3164,,,,125.0501,125.1309,-0.0808,0.0649,-0.1457,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,-0.018034,significant decrease
2024-05-01 07:00:00,120.5031,1757071.8395,212238285.79,8462130,6879615,202.1013,2.388e-05,55270377170.97,124.2551,,,,124.3506,124.7881,-0.4375,-0.0356,-0.4019,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,-0.018915,significant decrease
2024-05-01 08:00:00,121.0997,1108013.102,132924459.47,8489463,6847295,182.6292,2.151e-05,53864869417.03,123.5959,,,,123.8504,124.5149,-0.6645,-0.1614,-0.5031,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,0.004951,slight increase
2024-05-01 09:00:00,120.7857,742829.909,90145188.69,8777861,7057795,179.6191,2.046e-05,53755115284.9,122.7004,,,,123.3789,124.2387,-0.8598,-0.3011,-0.5587,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,-0.002593,slight decrease
2024-05-01 10:00:00,121.6413,438310.7606,53057231.34,8860700,7208372,163.1265,1.841e-05,54116264579.27,121.9897,,,,123.1116,124.0463,-0.9347,-0.4278,-0.5069,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,0.007084,slight increase
2024-05-01 11:00:00,122.9572,420351.1166,51247702.23,9025165,7332873,178.8595,1.982e-05,54212761907.78,121.6356,,,,123.0878,123.9656,-0.8778,-0.5178,-0.36,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,0.010818,significant increase
2024-05-01 12:00:00,123.8372,802407.8601,99421986.35,8514441,6598271,277.7865,3.263e-05,54674096250.47,121.804,,,,123.2031,123.9561,-0.753,-0.5648,-0.1882,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,0.007157,slight increase
2024-05-01 13:00:00,123.4147,552641.6099,68090770.94,8654058,6772374,210.2985,2.43e-05,55404515719.67,122.2893,,,,123.2357,123.916,-0.6803,-0.5879,-0.0924,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,-0.003412,slight decrease
2024-05-01 14:00:00,123.4692,535173.2722,65767219.96,9042000,7156890,213.1227,2.357e-05,55328836896.28,122.6842,,,,123.2716,123.8829,-0.6113,-0.5926,-0.0187,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,0.000442,no significant change
2024-05-01 15:00:00,123.3171,596879.7284,73125252.38,9280857,7359562,243.2378,2.621e-05,55064543031.2,123.1061,,,,123.2786,123.841,-0.5624,-0.5866,0.0242,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,,,,,,-0.001232,no significant change
2024-05-01 16:00:00,124.4497,826075.2617,102836029.1,7745322,6057701,254.6549,3.288e-05,54932664551.64,123.5742,,,,123.4588,123.8861,-0.4273,-0.5547,0.1274,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,,,,,,0.009184,slight increase
2024-05-01 17:00:00,126.8211,733761.8195,92312370.47,8758634,6796550,306.2772,3.497e-05,55566625449.53,124.2182,,,,123.9761,124.1035,-0.1274,-0.4692,0.3418,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,,,,,,0.019055,significant increase
2024-05-01 18:00:00,133.9447,2362343.6016,309893384.76,6937726,5520397,308.7588,4.45e-05,56482268450.32,125.9028,,,,125.5097,124.8325,0.6772,-0.24,0.9172,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,,,,,,0.05617,significant increase
2024-05-01 19:00:00,129.6685,2054576.9587,269337297.94,6464481,5008809,350.3724,5.42e-05,60310226581.16,126.945,,,,126.1495,125.1907,0.9588,-0.0002,0.959,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,124.64542000000002,3.1706356126177617,130.9867,118.3041,within band (normal range),-0.031925,significant decrease
2024-05-01 20:00:00,131.772,962304.4618,126225223.42,6801553,5191476,238.7339,3.51e-05,58467849497.77,128.3288,,,,127.0145,125.6782,1.3363,0.2671,1.0692,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,124.97899500000001,3.549360747852313,132.0777,117.8803,within band (normal range),0.016222,significant increase
2024-05-01 21:00:00,133.3794,787472.5869,104801393.7,7099501,5410376,251.4064,3.541e-05,59215480589.77,130.0059,,,,127.9937,126.2486,1.7451,0.5627,1.1824,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,125.30441,4.001513641492756,133.3074,117.3014,above upper band (possible breakout),0.012198,significant increase
