timestamp,close_price,volume_base,volume_quote,transaction_count,total_value_transferred_doge,avg_fee_doge,total_size_used_bytes,market_cap,ma_6,ma_24,ma_crossover_signal,ma_crossover_description,ema_12,ema_26,macd,macd_signal,macd_hist,macd_crossover_signal,macd_crossover_description,txn_ratio,txn_ratio_description,bb_mid,bb_std,bb_upper,bb_lower,bb_position,price_change_pct,price_movement
2024-05-01 00:00:00,0.1316526162,286290192.8032,38105119.66,4731,667491639.03,0.230494,1593843,19192308163.21,,,,,0.13165262,0.13165262,0.0,0.0,0.0,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,,
2024-05-01 01:00:00,0.1313047381,402256743.7644,52859312.91,6419,320658967.08,0.184687,2186581,18935313927.06,,,,,0.1315991,0.13162685,-2.775e-05,-5.55e-06,-2.22e-05,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,-0.002642,slight decrease
2024-05-01 02:00:00,0.1306308745,362210762.9338,47070760.41,5364,365429686.7,0.25176,1925537,18894565624.49,,,,,0.13145014,0.13155307,-0.00010293,-2.503e-05,-7.79e-05,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,-0.005132,slight decrease
2024-05-01 03:00:00,0.1323743324,199953359.2131,26345659.23,3761,307565590.3,0.394382,1889888,18767374089.5,,,,,0.13159232,0.13161391,-2.159e-05,-2.434e-05,2.75e-06,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,,,,,,0.013346,significant increase
2024-05-01 04:00:00,0.132580324,114771886.1861,15225365.04,2124,263141129.35,0.514555,1459681,18991577929.67,,,,,0.13174432,0.13168549,5.883e-05,-7.71e-06,6.654e-05,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,,,,,,0.001556,no significant change
2024-05-01 05:00:00,0.1316855537,134807469.5976,17829793.93,2649,342314695.32,0.373509,971719,19041297831.11,0.13170474,,,,0.13173528,0.1316855,4.978e-05,3.79e-06,4.599e-05,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,,,,,,-0.006749,slight decrease
2024-05-01 06:00:00,0.1289462415,232647489.1741,30322417.63,8880,432848096.31,0.158072,2700905,18946919490.28,0.13125368,,,,0.1313062,0.13148259,-0.00017639,-3.224e-05,-0.00014415,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,-0.020802,significant decrease
2024-05-01 07:00:00,0.1246852895,1297384271.1126,163341522.71,9649,501979450.81,0.179835,3236316,18673172640.65,0.13015044,,,,0.1302876,0.13097909,-0.00069149,-0.00016409,-0.0005274,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,-0.033044,significant decrease
2024-05-01 08:00:00,0.124329469,961407068.6885,118776333.59,9973,839174386.93,0.158568,3084028,17945667310.05,0.1291002,,,,0.12937096,0.13048652,-0.00111556,-0.00035439,-0.00076117,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,-0.002854,slight decrease
2024-05-01 09:00:00,0.1239776372,356016689.5249,44404527.21,29411,402596000.55,0.1307,8983604,17758194598.78,0.12770075,,,,0.12854122,0.13000438,-0.00146316,-0.00057614,-0.00088702,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,-0.00283,slight decrease
