timestamp,close_price,volume_base,volume_quote,transaction_count,total_value_transferred_eth,unique_active_wallets,avg_gas_price_gwei,total_gas_used,market_cap,ma_6,ma_24,ma_crossover_signal,ma_crossover_description,ema_12,ema_26,macd,macd_signal,macd_hist,macd_crossover_signal,macd_crossover_description,txn_ratio,txn_ratio_description,bb_mid,bb_std,bb_upper,bb_lower,bb_position,price_change_pct,price_movement
2024-05-01 00:00:00,2997.2957,87041.9491,261371774.23,50831,53248.2181,25482,8.219,4542529445,368786372970.94,,,,,2997.2957,2997.2957,0.0,0.0,0.0,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,,
2024-05-01 01:00:00,3000.8196,90117.9517,270160522.51,49831,75066.1618,26422,8.1389,4578797065,365982462109.58,,,,,2997.8378,2997.5567,0.2811,0.0562,0.2249,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,,,,,,0.001176,no significant change
2024-05-01 02:00:00,2985.5093,92728.8428,276314240.26,48229,29038.2851,25233,9.2955,4518099410,366599483316.34,,,,,2995.9411,2996.6643,-0.7232,-0.0997,-0.6235,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,-0.005102,slight decrease
2024-05-01 03:00:00,3001.9196,45859.1077,137276861.94,48785,27267.6164,27274,8.1441,4530654967,364123908980.91,,,,,2996.8609,2997.0536,-0.1927,-0.1183,-0.0744,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,0.005497,slight increase
2024-05-01 04:00:00,3003.8646,41604.4323,125051588.43,47804,35669.8495,26537,7.19,4541463899,365586020730.64,,,,,2997.9384,2997.5581,0.3803,-0.0186,0.3989,1,MACD (12h vs 26h EMA) is above signal line → bullish momentum,,,,,,,,0.000648,no significant change
2024-05-01 05:00:00,2992.2338,61148.8662,183078531.24,46818,23924.5542,25218,7.4799,4527735659,366560413038.42,2996.9404,,,,2997.0608,2997.1637,-0.1029,-0.0354,-0.0675,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,-0.003872,slight decrease
2024-05-01 06:00:00,2952.8314,93689.7612,278324178.69,49805,23264.6681,26463,7.6935,4553312046,364259666343.36,2989.5297,,,,2990.2562,2993.8799,-3.6237,-0.7531,-2.8706,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,-0.013168,significant decrease
2024-05-01 07:00:00,2867.5894,368547.273,1066139942.37,49596,83393.7018,22182,22.0712,4633450219,361173148397.73,2967.3247,,,,2971.3844,2984.525,-13.1406,-3.2306,-9.91,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,-0.028868,significant decrease
2024-05-01 08:00:00,2859.6975,271661.9017,773363629.76,49251,74381.28,22358,20.4277,4511887791,349561013898.27,2946.356,,,,2954.2018,2975.2785,-21.0767,-6.7998,-14.2769,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,-0.002752,slight decrease
2024-05-01 09:00:00,2874.1493,127704.8928,367313362.05,49242,92524.2244,22534,13.9404,4459155419,347497315867.98,2925.061,,,,2941.886,2967.7875,-25.9015,-10.6201,-15.2814,0,MACD (12h vs 26h EMA) is below signal line → no bullish signal,,,,,,,,0.005054,slight increase
